Rk,Uni,Name,Handedness,Birth,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,49,Jordan Leasure,R,us US,Pitcher,*,,26,R,R,6' 3 in,220,Aug 15 1998,2017,leasujo01
2,71,Cam Booser,L,us US,Pitcher,*,,33,L,L,6' 3 in,230,May 4 1992,2011,booseca01
3,61,Mike Vasil,L,us US,Pitcher,*,,25,L,R,6' 5 in,244,Mar 19 2000,2019,vasilmi01
4,60,Miguel Castro,R,do DO,Pitcher,*,,30,R,R,6' 7 in,201,Dec 24 1994,2012,castrmi01
5,36,Steven Wilson,R,us US,Pitcher,*,,30,R,R,6' 4 in,220,Aug 24 1994,2014,wilsost02
6,51,Jared Shuster,L,us US,Pitcher,*,,26,L,L,6' 3 in,220,Aug 3 1998,2018,shustja01
7,48,Jonathan Cannon,R,us US,Pitcher,*,,24,R,R,6' 6 in,225,Jul 19 2000,2020,cannojo02
8,53,Brandon Eisert,L,us US,Pitcher,*,,27,L,L,6' 2 in,210,Jan 19 1998,2016,eiserbr01
9,94,Yoendrys Gómez,R,ve VE,Pitcher,*,,25,R,R,6' 3 in,212,Oct 15 1999,2017,gomezyo01
10,65,Davis Martin,L,us US,Pitcher,*,,28,L,R,6' 2 in,215,Jan 4 1997,2016,martida03
11,59,Sean Burke,R,us US,Pitcher,*,,25,R,R,6' 6 in,240,Dec 18 1999,2020,burkese01
12,46,Bryse Wilson,R,us US,Pitcher,*,,27,R,R,6' 2 in,255,Dec 20 1997,2016,wilsobr02
13,64,Shane Smith,R,us US,Pitcher,*,,25,R,R,6' 3 in,240,Apr 4 2000,2020,smithsh02
14,41,Vinny Capra,R,us US,Position,*,,28,R,R,5' 8 in,188,Jul 7 1996,2017,capravi01
15,20,Miguel Vargas,R,cu CU,Position,*,,25,R,R,6' 2 in,225,Nov 17 1999,2014,vargami01
16,27,Brooks Baldwin,S,us US,Position,*,,24,S,R,6' 1 in,195,Aug 15 2000,2019,baldwbr01
17,21,Michael A. Taylor,R,us US,Position,*,,34,R,R,6' 4 in,215,Mar 26 1991,2010,taylomi02
18,25,Andrew Vaughn,R,us US,Position,*,,27,R,R,5' 10 in,215,Apr 3 1998,2017,vaughan01
19,7,Edgar Quero,S,cu CU,Position,*,,22,S,R,5' 10 in,205,Apr 6 2003,2021,queroed01
20,10,Chase Meidroth,R,us US,Position,*,,23,R,R,5' 10 in,190,Jul 23 2001,2019,meidrch01
21,88,Luis Robert Jr.,R,cu CU,Position,*,,27,R,R,6' 2 in,225,Aug 3 1997,2013,roberlu01
22,50,Lenyn Sosa,R,ve VE,Position,*,,25,R,R,5' 11 in,210,Jan 25 2000,2017,sosale01
23,30,Tim Elko,R,us US,Position,*,,26,R,R,6' 3 in,250,Dec 27 1998,2018,elkoti01
24,47,Joshua Palacios,L,us US,Position,*,,29,L,R,6' 0 in,210,Jul 30 1995,2014,palacjo01
25,5,Josh Rojas,L,us US,Position,*,,31,L,R,6' 1 in,200,Jun 30 1994,2015,rojasjo01
26,29,Matt Thaiss,L,us US,Position,*,,30,L,R,5' 11 in,215,May 6 1995,2014,thaisma01
27,15,Austin Slater,R,us US,Position,,10-day,32,R,R,6' 1 in,205,Dec 13 1992,2012,slateau01
28,26,Korey Lee,R,us US,Position,,10-day,26,R,R,6' 0 in,225,Jul 25 1998,2017,leeko01
29,23,Andrew Benintendi,L,us US,Position,,10-day,30,L,L,5' 10 in,185,Jul 6 1994,2014,beninan01
30,18,Mike Tauchman,L,us US,Position,,10-day,34,L,L,6' 1 in,215,Dec 3 1990,2011,tauchmi01
31,55,Fraser Ellard,L,us US,Pitcher,,15-day,27,L,L,6' 3 in,220,Nov 6 1997,2017,ellarfr01
32,40,Tyler Gilbert,L,us US,Pitcher,,15-day,31,L,L,6' 3 in,225,Dec 22 1993,2015,gilbety01
33,66,Prelander Berroa,R,do DO,Pitcher,,60-day,25,R,R,5' 11 in,215,Apr 18 2000,2017,berropr01
34,54,Martín Pérez,L,ve VE,Pitcher,,60-day,34,L,L,6' 0 in,210,Apr 4 1991,2008,perezma02
35,33,Drew Thorpe,L,us US,Pitcher,,60-day,24,L,R,6' 4 in,220,Oct 1 2000,2019,thorpdr01
37,62,Jesse Scholtens,R,us US,Pitcher,,60-day,31,R,R,6' 4 in,240,Apr 6 1994,2013,scholje01
38,58,Jairo Iriarte,R,ve VE,Pitcher,,,23,R,R,6' 4 in,240,Dec 15 2001,2019,iriarja01
39,73,Wikelman González,R,ve VE,Pitcher,,,23,R,R,6' 0 in,220,Mar 25 2002,2019,redirect.fcgi?player=1&mlb_ID=682790
40,37,Gus Varland,L,us US,Pitcher,,,28,L,R,6' 1 in,225,Nov 6 1996,2016,varlagu01
41,57,Owen White,R,us US,Pitcher,,,25,R,R,6' 3 in,200,Aug 9 1999,2021,whiteow01
42,43,Nick Nastrini,R,us US,Pitcher,,,25,R,R,6' 3 in,220,Feb 18 2000,2018,nastrni01
43,68,Caleb Freeman,R,us US,Pitcher,,,27,R,R,6' 1 in,195,Feb 23 1998,2017,freemca01
44,44,Bryan Ramos,R,cu CU,Position,,,23,R,R,6' 2 in,225,Mar 12 2002,2019,ramosbr01
45,83,Colson Montgomery,L,us US,Position,,,23,L,R,6' 3 in,230,Feb 27 2002,2021,redirect.fcgi?player=1&mlb_ID=695657
