Rk,Player,Handedness,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Awards,Player-additional
1,Shane Smith,R,25,48.1,9,9,18,3.35,4.37,-0.19,0.19,0.00,103,4.91,8,0.9,,-0.1,1.3,13,.596,.505,,smithsh02
2,Jonathan Cannon,R,24,50.0,9,7,20,3.60,4.16,-0.21,0.19,0.00,106,4.81,7,0.7,0.66,-0.1,1.1,11,.574,.504,,cannojo02
3,Mike Vasil,R,25,27.1,14,0,7,2.30,4.33,-0.20,-0.29,0.21,103,4.58,7,0.7,0.80,-0.2,0.8,9,.551,.504,,vasilmi01
4,Martín Pérez,L,34,20.0,4,4,7,3.15,4.48,-0.18,0.20,0.00,104,5.04,4,0.5,,0.0,0.6,6,.612,.503,,perezma02
5,Davis Martin,R,28,49.1,9,8,24,4.38,4.14,-0.22,0.18,0.00,106,4.81,2,0.2,0.92,-0.1,0.6,7,.519,.501,,martida03
6,Steven Wilson,R,30,12.1,12,0,3,2.19,4.21,-0.15,-0.29,0.00,107,4.35,3,0.3,2.00,0.1,0.5,4,.525,.502,,wilsost02
7,Jordan Leasure,R,26,15.1,19,0,8,4.70,4.28,-0.17,-0.29,0.36,105,4.77,0,0.0,1.80,-0.1,0.1,1,.499,.500,,leasujo01
8,Cam Booser,L,33,16.1,19,0,9,4.96,4.19,-0.18,-0.29,0.35,105,4.66,-1,-0.1,1.09,-0.1,0.0,1,.495,.499,,booseca01
9,Tyler Gilbert,L,31,13.0,13,3,7,4.85,4.27,-0.15,-0.22,0.00,105,4.41,-1,-0.1,0.73,0.0,0.0,1,.493,.499,,gilbety01
10,Jacob Amaya,R,26,1.0,1,0,0,0.00,3.94,-0.21,-0.27,0.00,106,4.11,0,0.1,0.00,0.0,0.0,1,.549,.500,,amayaja01
11,Caleb Freeman,R,27,2.1,4,0,2,7.71,3.90,-0.26,-0.27,0.00,105,4.10,-1,-0.1,0.73,0.0,-0.1,-1,.474,.499,,freemca01
12,Yoendrys Gómez,R,25,2.0,2,0,3,13.50,4.59,-0.24,-0.31,0.00,98,4.43,-2,-0.2,0.01,0.1,-0.1,-2,.400,.499,,gomezyo01
13,Brandon Eisert,L,27,18.1,18,2,11,5.40,4.24,-0.21,-0.29,0.00,105,4.36,-2,-0.3,0.87,-0.1,-0.1,0,.486,.498,,eiserbr01
14,Miguel Castro,R,30,1.1,1,0,2,13.50,5.32,-0.20,-0.36,0.00,92,4.75,-1,-0.1,0.17,0.1,-0.1,-1,.374,.499,,castrmi01
15,Fraser Ellard,L,27,6.2,7,0,5,6.75,4.40,-0.08,-0.30,0.00,102,4.27,-2,-0.2,1.01,0.0,-0.2,-1,.471,.499,,ellarfr01
16,Mike Clevinger,R,34,5.2,8,0,5,7.94,4.10,-0.24,-0.28,0.00,102,4.16,-2,-0.3,0.76,0.0,-0.2,-2,.468,.498,,clevimi01
17,Jared Shuster,L,26,11.1,9,0,10,7.94,4.39,-0.26,-0.30,0.00,106,4.60,-4,-0.5,0.37,0.1,-0.2,-3,.450,.497,,shustja01
18,Sean Burke,R,25,48.0,10,9,30,5.63,4.23,-0.22,0.19,0.00,104,4.80,-4,-0.5,0.92,-0.1,-0.2,0,.447,.497,,burkese01
19,Bryse Wilson,R,27,33.0,14,4,22,6.00,4.22,-0.24,-0.03,0.00,105,4.68,-5,-0.6,0.57,0.0,-0.3,-2,.460,.497,,wilsobr02
20,Penn Murfee,R,31,12.2,15,0,11,7.82,4.39,-0.24,-0.30,0.00,105,4.54,-5,-0.5,0.75,0.0,-0.4,-3,.467,.497,,murfepe01
